epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.43095,1.26488,3.50339,1.06997,0.01,0.75,0.01488,0.0119,1.02176,3.22315,1.00064,2e-05,2e-05,2e-05
2,12.0487,1.17506,3.3793,1.14655,0.01,0.75,0.02051,0.0157,0.99861,3.2421,1.00398,5.9406e-05,5.9406e-05,5.9406e-05
3,15.4651,1.18155,3.29614,1.07597,0.01333,1,0.04575,0.02672,1.06466,3.26753,1.01437,9.802e-05,9.802e-05,9.802e-05
4,18.9807,1.08348,2.98082,0.99836,0.01333,1,0.12063,0.07232,1.13897,3.22978,1.00345,0.000135842,0.000135842,0.000135842
5,22.8313,1.03091,2.61466,0.93698,0.01333,1,0.43466,0.27982,1.10517,3.1614,0.99616,0.000172872,0.000172872,0.000172872
6,26.0391,0.93028,2.32754,0.93027,0.01333,1,0.51773,0.3107,0.95223,2.97644,0.93499,0.00020911,0.00020911,0.00020911
7,29.5561,0.95405,1.75387,0.97941,0.01333,1,0.51352,0.33565,0.92408,2.85708,0.91107,0.000244556,0.000244556,0.000244556
8,33.0153,0.99061,1.45877,0.94178,0.01333,1,0.57211,0.34061,0.90082,2.68061,0.90122,0.00027921,0.00027921,0.00027921
9,36.6351,1.06198,1.62975,1.01705,0.01333,1,0.69063,0.38203,0.79541,2.56974,0.87652,0.000313072,0.000313072,0.000313072
10,39.885,0.91027,1.17631,0.95415,0.01333,1,0.88786,0.5258,0.81909,2.43801,0.86196,0.000346142,0.000346142,0.000346142
11,43.6031,0.99015,1.30497,0.9758,0.01333,1,0.995,0.62425,0.975,2.38208,0.90325,0.00037842,0.00037842,0.00037842
12,47.0647,0.86959,1.1023,0.92466,0.01333,1,0.995,0.62425,0.975,2.38208,0.90325,0.000409906,0.000409906,0.000409906
13,50.6724,1.06638,1.17775,1.03225,0.01333,1,0.995,0.75839,1.02633,2.30461,0.94376,0.0004406,0.0004406,0.0004406
